Fecha;Fecha_Apertura;Producto;Ventas;Intereses;Comisiones
30/04/2024;5/11/2020;PVEH;187.66;1.57;0.04
30/04/2024;11/11/2020;PHIP;4,298.89;36.04;0.07
30/04/2024;19/11/2020;PCRFA;1,426.48;15.34;0.33
30/04/2024;22/11/2020;PCRFA;22.16;0.42;0.00
30/04/2024;25/11/2020;PCRFA;752.86;8.36;0.20
30/04/2024;28/11/2020;PCRFA;246.18;3.10;0.05
30/04/2024;5/01/2021;PVEH;50.63;0.36;0.00
30/04/2024;8/01/2021;PHIP;1,700.04;11.23;0.04
30/04/2024;19/01/2021;PCRFA;205.37;3.19;0.02
30/04/2024;22/01/2021;PCRFA;237.12;4.05;0.30
30/04/2024;25/01/2021;PCRFA;99.45;1.84;0.02
30/04/2024;28/01/2021;PCRFA;166.98;3.26;0.03
30/04/2024;26/02/2021;PVEH;133.72;1.00;0.01
30/04/2024;1/03/2021;PVEH;79.91;0.63;0.02
30/04/2024;4/03/2021;PHIP;3,579.20;25.13;0.10
30/04/2024;4/03/2021;PVEH;223.17;2.18;0.03
30/04/2024;10/03/2021;PHIP;755.30;5.81;0.03
30/04/2024;21/03/2021;PCRFA;4.49;0.15;0.00
30/04/2024;24/03/2021;PCRFA;3,184.29;28.43;0.77
30/04/2024;27/03/2021;PCRFA;516.14;6.88;0.08
30/04/2024;28/04/2021;PVEH;133.03;0.92;0.01
30/04/2024;4/05/2021;PHIP;974.57;6.77;0.02
30/04/2024;7/05/2021;PHIP;897.02;6.77;0.03
30/04/2024;7/05/2021;PVEH;359.49;2.76;0.08
30/04/2024;10/05/2021;PHIP;442.53;3.44;0.02
30/04/2024;18/05/2021;PCRFA;1,485.45;17.10;0.27
30/04/2024;21/05/2021;PCRFA;1,553.00;22.59;3.37
30/04/2024;24/05/2021;PCRFA;3,460.07;39.19;0.66
30/04/2024;27/05/2021;PCRFA;1,335.58;21.77;0.05
30/04/2024;25/06/2021;PVEH;402.56;3.44;0.05
30/04/2024;1/07/2021;PHIP;772.52;5.37;0.04
30/04/2024;1/07/2021;PVEH;87.67;0.68;0.00
30/04/2024;7/07/2021;PHIP;300.45;2.14;0.01
30/04/2024;18/07/2021;PCRFA;107.51;1.95;0.01
30/04/2024;21/07/2021;PCRFA;1,191.51;17.67;0.13
30/04/2024;24/07/2021;PCRFA;652.44;11.00;0.05
30/04/2024;27/07/2021;PCRFA;816.05;14.29;0.12
30/04/2024;25/08/2021;PVEH;519.24;4.09;0.20
30/04/2024;31/08/2021;PHIP;11,321.90;71.23;0.44
30/04/2024;31/08/2021;PVEH;214.13;1.67;0.01
30/04/2024;3/09/2021;PHIP;845.90;5.59;0.07
30/04/2024;3/09/2021;PVEH;406.09;3.91;0.01
30/04/2024;6/09/2021;PHIP;3,952.21;27.12;0.00
30/04/2024;9/09/2021;PHIP;851.51;5.78;0.05
30/04/2024;17/09/2021;PCRFA;3,633.97;50.64;0.56
30/04/2024;20/09/2021;PCRFA;1,614.27;27.42;0.30
30/04/2024;23/09/2021;PCRFA;1,523.06;25.03;0.14
30/04/2024;26/09/2021;PCRFA;570.45;8.09;0.01
30/04/2024;25/10/2021;PVEH;44.69;0.34;0.03
30/04/2024;28/10/2021;PVEH;348.62;2.61;0.05
30/04/2024;3/11/2021;PHIP;2,132.71;13.85;0.08
30/04/2024;3/11/2021;PVEH;0.00;0.00;0.00
30/04/2024;17/11/2021;PCRFA;5,023.85;76.42;0.51
30/04/2024;20/11/2021;PCRFA;2,689.93;23.47;0.14
30/04/2024;23/11/2021;PCRFA;2,431.42;41.51;0.25
30/04/2024;26/11/2021;PCRFA;2,945.27;43.55;0.40
30/04/2024;28/12/2021;PHIP;28,734.49;158.79;0.59
30/04/2024;31/12/2021;PHIP;1,536.29;9.97;0.08
30/04/2024;6/01/2022;PHIP;325.62;1.61;0.02
30/04/2024;17/01/2022;PCRFA;4,202.41;72.91;0.40
30/04/2024;20/01/2022;PCRFA;4,432.34;79.95;3.85
30/04/2024;23/01/2022;PCRFA;593.53;11.24;2.77
30/04/2024;24/02/2022;PVEH;341.34;2.65;0.09
30/04/2024;2/03/2022;PHIP;2,990.02;23.97;0.28
30/04/2024;2/03/2022;PVEH;238.09;1.52;0.04
30/04/2024;8/03/2022;PHIP;1,173.14;8.24;0.05
30/04/2024;16/03/2022;PCRFA;5,647.50;79.80;0.64
30/04/2024;19/03/2022;PCRFA;2,650.03;49.64;1.94
30/04/2024;22/03/2022;PCRFA;3,657.23;65.73;6.12
30/04/2024;25/03/2022;PCRFA;4,322.65;70.89;1.42
30/04/2024;26/04/2022;PVEH;174.18;1.13;0.05
30/04/2024;29/04/2022;PHIP;7,563.85;47.70;0.34
30/04/2024;29/04/2022;PVEH;17.74;0.17;0.01
30/04/2024;16/05/2022;PCRFA;4,117.06;68.09;0.61
30/04/2024;19/05/2022;PCRFA;6,307.37;89.41;0.73
30/04/2024;22/05/2022;PCRFA;335.75;6.23;2.18
30/04/2024;25/05/2022;PCRFA;3,164.25;54.41;1.99
30/04/2024;23/06/2022;PVEH;241.72;1.85;0.02
30/04/2024;29/06/2022;PHIP;7,419.38;62.03;0.20
30/04/2024;29/06/2022;PVEH;599.06;4.11;0.07
30/04/2024;16/07/2022;PCRFA;3,846.87;76.42;0.00
30/04/2024;19/07/2022;PCRFA;4,510.42;76.30;0.00
30/04/2024;22/07/2022;PCRFA;8,772.80;113.95;0.00
30/04/2024;25/07/2022;PCRFA;8,046.75;104.49;1.10
30/04/2024;26/08/2022;PHIP;762.88;4.30;0.01
30/04/2024;26/08/2022;PVEH;635.82;4.44;0.09
30/04/2024;29/08/2022;PHIP;2,271.92;15.16;0.08
30/04/2024;29/08/2022;PVEH;445.72;2.84;0.09
30/04/2024;1/09/2022;PHIP;11,696.58;62.06;0.40
30/04/2024;15/09/2022;PCRFA;2,129.75;35.82;0.12
30/04/2024;18/09/2022;PCRFA;1,051.29;20.50;0.00
30/04/2024;21/09/2022;PCRFA;7,346.42;120.21;0.02
30/04/2024;26/10/2022;PHIP;638.63;4.43;0.03
30/04/2024;26/10/2022;PVEH;872.62;6.31;0.10
